id,investorName,investorType,city,country,sectors,stages,logoURL
1114,James McCann,"Investment Partner, Individual/Angel",Boston,USA,,Series A,
1115,Jane Wang,Angel,Canada,,HealthTech,Seed,
1116,Jean Desgagne,Angel,,,SaaS,Seed,
1117,Jump Capital,Venture Capital,Chicago,USA,SaaS,Series B,https://pbs.twimg.com/profile_images/497447107863646208/xk3DoCMu_400x400.jpeg
1118,Kavi Maharajh,Angel,Toronto,Canada,RetailTech,Seed,
1119,Kingsley Advani,Angel,San Francisco,USA,,Seed,
1120,Kula Sellathurai,Angel,,,Marketplace,Pre-Seed,
1121,LatAm Startups,"Accelerator, Micro VC",Toronto,Canada,Marketplace,Pre-Seed,https://pbs.twimg.com/profile_images/1043608558347071488/A9CljOCH_400x400.jpg
1122,LaunchYU,Accelerator,Toronto,Canada,SaaS,Pre-Seed,
1123,Lauren DeLuca,"Investment Partner, Individual/Angel",Chicago,USA,,Seed,
1124,LDV Capital,Micro VC,New York,USA,Platform,Series B,https://pbs.twimg.com/profile_images/953311748072845313/WFvWzFV6_400x400.jpg
1125,Leon Li,Angel,Toronto,Canada,TravelTech,Pre-Seed,
1126,Lilly Asia Ventures,Venture Capital,Shanghai,China,BioTech,Series D,
1127,Louis Beryl,Angel,San Francisco,USA,PropertyTech,Seed,https://pbs.twimg.com/profile_images/592782334857977857/fJ7aYX7j_400x400.jpg
1128,Loyal VC,Venture Capital,Toronto,Canada,HeatlhTech,Pre-Seed,
1129,Lux Capital,Venture Capital,New York,USA,"Analytics, BioTech, DevTech","Seed, Series A, Series B",https://pbs.twimg.com/profile_images/728194457632395264/rwtxA-v4_400x400.jpg
1130,Maksim Golivkin,Angel,,,TravelTech,Pre-Seed,
1131,Matchstick Ventures,Micro VC,Boulder,USA,,Series A,https://pbs.twimg.com/profile_images/1437602715065012226/qmu4gGWk_400x400.jpg
1132,McKinsey & Company,Co-Working Space,San Francisco,USA,AI,Series B,
1133,Mehdi Bedadi,Angel,,,SaaS,Seed,
1134,MetaProp,"Accelerator, Micro VC, Venture Capital",New York,USA,,Pre-Seed,https://pbs.twimg.com/profile_images/1412544755955908612/SXnW9Xh8_400x400.jpg
1135,Mirai Creation Fund,Venture Capital,Tokyo,Japan,,,
1136,Multicoin Capital,Micro VC,Austin,USA,"Cryptocurrency, Platform","Seed, Series A",https://pbs.twimg.com/profile_images/883432284161888257/H6xL2-2U_400x400.jpg
1137,Ndamukong Suh,Angel,,,Marketplace,Seed,https://pbs.twimg.com/profile_images/1394391886257868813/GVNpkl7t_400x400.jpg
1138,Neal Dempsey,"Investment Partner, Individual/Angel",San Francisco,USA,EdTech,Seed,https://pbs.twimg.com/profile_images/1290068263188066305/utfF-WNF_400x400.jpg
1139,New Enterprise Associates,Venture Capital,Menlo Park,USA,FinTech,Series B,https://pbs.twimg.com/profile_images/1412847639700197376/AxIX8M9X_400x400.png
1140,Newfund,Venture Capital,Paris,France,"Analytics, HRTech, HealthTech","Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1019543304478887936/Pe_fHHHP_400x400.jpg
1141,Next 10 Ventures,"Corporate Venture Capital, Incubator",Los Angeles,USA,,Seed,https://pbs.twimg.com/profile_images/1030017162818117632/bR2n2Jdf_400x400.jpg
1142,Nigel Stokes,Angel,,,FinTech,Seed,
1143,One Way Ventures,"Micro VC, Venture Capital",Boston,USA,"DevTech, Marketplace, PropertyTech","Seed, Series A",https://pbs.twimg.com/profile_images/1146485812218990592/enZondx2_400x400.png
1144,OnWave Ventures,Venture Capital,Oakville,Canada,,,
1145,Outlier Ventures,"Accelerator, Venture Capital",London,United Kingdom,,Pre-Seed,https://pbs.twimg.com/profile_images/1451398609279148037/2MmLzX81_400x400.jpg
1146,Owl Ventures,Venture Capital,San Francisco,USA,,Series C,https://pbs.twimg.com/profile_images/727606059662082048/MvZXfLIc_400x400.jpg
1147,Pacific Health Ventures,Venture Capital,Menlo Park,USA,AI,Series A,
1148,Paradigm Capital,"Micro VC, Venture Capital",Toronto,Canada,"BioTech, Games",Seed,
1149,Pavin Ventures,Venture Capital,,,PropertyTech,Seed,
1150,Pegasus Tech Ventures,Venture Capital,San Jose,USA,AI,Series B,https://pbs.twimg.com/profile_images/1106598625256177665/SofacP_i_400x400.png
1151,Pelorus Venture Capital,Venture Capital,St. John's,Canada,"LegalTech, SaaS",,
1152,Pi Campus,Venture Capital,Rome,Italy,,Seed,https://pbs.twimg.com/profile_images/907228933304864768/JIAqPwPP_400x400.jpg
1153,Pioneer Fund,Venture Capital,San Francisco,USA,,Seed,
1154,Plus Eight Equity Fund LP,Venture Capital,New York,USA,EntertainmentTech,Series B,
1155,Point72 Ventures,Venture Capital,New York,USA,FinTech,Series C,https://pbs.twimg.com/profile_images/1440381451791323145/TVXjhvWq_400x400.jpg
1156,ProMontreal Entrepreneurs,Incubator,Montréal,Canada,FinTech,Seed,https://pbs.twimg.com/profile_images/1169276563969445888/FIqluyfL_400x400.png
1157,Prudence Holdings,Venture Capital,New York,USA,PropertyTech,Series A,
1158,Rebel Fund,Venture Capital,San Francisco,USA,SaaS,Seed,
1159,RebelBio,Accelerator,London,United Kingdom,HealthTech,Seed,https://pbs.twimg.com/profile_images/922847426544898054/NyZLRmkc_400x400.jpg
1160,Reinventure,Venture Capital,Sydney,Australia,FinTech,Series C,https://pbs.twimg.com/profile_images/938336794193432576/dYL_ll3S_400x400.jpg
1161,Revel Partners,Micro VC,New York,USA,FinTech,Seed,https://pbs.twimg.com/profile_images/659059489321168896/odeNRLbs_400x400.png
1162,RGAx,"Incubator, Venture Capital",Chesterfield,USA,FinTech,Seed,
1163,Richard Reiner,Angel,Toronto,Canada,Platform,Seed,https://pbs.twimg.com/profile_images/1240768914268786693/LC5z3-i6_400x400.jpg
1164,Rising Tide,"Micro VC, Venture Capital",Menlo Park,USA,FinTech,Seed,https://pbs.twimg.com/profile_images/591954903750180865/7aWOwpO-_400x400.jpg
1165,River Valley Investors,Venture Capital,Springfield,USA,Cryptocurrency,Seed,
1166,Roadmap Capital,Micro VC,Toronto,Canada,"CyberSecurity, Hardware",Series D,
1167,Robert Gierkink,Angel,Boston,USA,,Series A,
1168,RockPort Capital,Venture Capital,Boston,USA,PropertyTech,Seed,https://pbs.twimg.com/profile_images/2328569893/RP_Badge-03_400x400.png
1169,Rogue Insight Capital,Venture Capital,Markham,Canada,FinTech,Series B,
1170,RTP Seed,Venture Capital,New York,USA,PropertyTech,Seed,
1171,SBCVC,Venture Capital,Shanghai,China,BioTech,Series D,
1172,Segovia Capital,Venture Capital,Montreal,Canada,AI,Series A,
1173,SenseAI Ventures,Venture Capital,Gurgaon,India,,,
1174,Sierra Ventures,Venture Capital,San Mateo,USA,FinTech,Series B,https://pbs.twimg.com/profile_images/1410629305927802885/Jkq2T5Iw_400x400.jpg
1175,SixThirty,Venture Capital,St Louis,USA,,Seed,https://pbs.twimg.com/profile_images/421668045585543168/h_QlE9v4_400x400.png
1176,Social Starts,"Micro VC, Venture Capital",San Francisco,USA,Wearables,Seed,https://pbs.twimg.com/profile_images/577725500019240960/-pYDJizx_400x400.png
1177,Sonae IM,Corporate Venture Capital,Maia,Portugal,SaaS,Series A,https://pbs.twimg.com/profile_images/948542146793132033/i7keevsW_400x400.jpg
1178,Sony Innovation Fund,Corporate Venture Capital,Tokyo,Japan,EntertainmentTech,Series B,
1179,StartUp Health,"Micro VC, Venture Capital",New York,USA,HealthTech,Pre-Seed,https://pbs.twimg.com/profile_images/720989189618167808/xlBYQx7p_400x400.jpg
1180,Steven DeNure,Angel,,,VR,Seed,
1181,Structure Capital,"Micro VC, Venture Capital",San Francisco,USA,Marketplace,,https://pbs.twimg.com/profile_images/533389246820663299/XJ0TgP3B_400x400.png
1182,Sujay Jaswa,"Investment Partner, Individual/Angel",San Francisco,USA,CyberSecurity,Series A,https://pbs.twimg.com/profile_images/1287442487829647360/m7acfqw-_400x400.jpg
1183,SV Health Investors,Venture Capital,Boston,USA,BioTech,Series A,https://pbs.twimg.com/profile_images/1708162782/SVLS_Logo_400x400.png
1184,T. Chen Fong,Angel,Calgary,Canada,BioTech,Seed,
1185,Tamarisc Ventures,"Micro VC, Venture Capital",Cambridge,USA,PropertyTech,Pre-Seed,
1186,TechNexus Venture Collaborative,"Incubator, Venture Capital",Chicago,USA,"EntertainmentTech, Hardware","Seed, Series B",https://pbs.twimg.com/profile_images/1410993173913116684/d0t1I1_F_400x400.jpg
1187,Techstars Austin Accelerator,Accelerator,Austin,USA,,Pre-Seed,
1188,Techstars Detroit Accelerator,Accelerator,Detroit,USA,TravelTech,Pre-Seed,
1189,Techstars Montreal AI Accelerator,Accelerator,Montréal,Canada,"HealthTech,TransportationTech","Pre-Seed,Seed",
1190,Terrella Capital,Venture Capital,,Canada,AI,Seed,
1191,The Holt Xchange,Accelerator,Montréal,Canada,,Seed,
1192,Times Bridge,Venture Capital,Redwood City,USA,,,https://pbs.twimg.com/profile_images/1079724467826425856/LDgYBRaH_400x400.jpg
1193,Todd Bissett,Angel,Waterloo,Canada,AI,Pre-Seed,
1194,Toronto Innovation Acceleration Partners,Venture Capital,Toronto,Canada,"FinTech, HealthTech, SaaS","Seed, Series C",https://pbs.twimg.com/profile_images/1169373487133278208/Gf7JVgtb_400x400.jpg
1195,TripLabs Limited,Venture Capital,Hong Kong,Hong Kong,PropertyTech,Pre-Seed,
1196,Upper Canada Equity Fund,Venture Capital,Toronto,Canada,Platform,Seed,
1197,Vinaj Ventures & Innovation,Micro VC,San Francisco,USA,,Pre-Seed,https://pbs.twimg.com/profile_images/1443353606732673028/uB4JFJFQ_400x400.jpg
1198,Vistara Growth,Venture Capital,Vancouver,Canada,"Cybersecurity, FinTech",Series B,https://pbs.twimg.com/profile_images/1417211225386078217/xICS56XQ_400x400.png
1199,W Investments,Venture Capital,Montréal,Canada,Analytics,Series A,
1200,Walnut Venture Associates,Venture Capital,Wellesley,USA,AdTech,Seed,
1201,William Adams,Angel,London,United Kingdom,AI,Series A,https://pbs.twimg.com/profile_images/1334853746870915075/Jd4bGKUx_400x400.jpg
1202,WorldQuant Ventures LLC,Venture Capital,Old Greenwich,USA,Analytics,Seed,
1203,Xpring,Corporate Venture Capital,San Francisco,USA,,Pre-Seed,
1204,York Entrepreneurship Development Institute,Accelerator,Toronto,Canada,SaaS,Seed,https://pbs.twimg.com/profile_images/378800000267402139/81a7465cd4cb81dde105ebf3d88103d4_400x400.png
1205,YUL Ventures,Micro VC,Montréal,Canada,EntertainmentTech,Series B,
1206,Zach Coelius,"Investment Partner, Individual/Angel",San Francisco,USA,PropertyTech,Seed,https://pbs.twimg.com/profile_images/1777002568/launch_pad_picture_400x400.jpg
1207,gener8tor,Accelerator,Madison,USA,"FinTech, Hardware",Pre-Seed,https://pbs.twimg.com/profile_images/1422558963975999498/vHXeSQ9D_400x400.jpg
1208,Acequia Capital (AceCap),Micro VC,Seattle,USA,iOT,Seed,
1209,Founders Factory,Accelerator,London,United Kingdom,HealthTech,Pre-Seed,https://pbs.twimg.com/profile_images/1369233501829144576/KtlhSvsk_400x400.jpg
1210,leAD Sports & Health Tech Partners,Accelerator,Berlin,Germany,HealthTech,Pre-Seed,https://pbs.twimg.com/profile_images/1336311202683752450/G08ETu0w_400x400.jpg
1211,Abingworth,Venture Capital,London,United Kingdom,BioTech,Series A,https://pbs.twimg.com/profile_images/908682308462563329/ABdh0hlH_400x400.jpg
1212,Johnson & Johnson Innovation,Corporate Venture Capital,Cambridge,USA,BioTech,Series B,https://pbs.twimg.com/profile_images/1413172145224445958/1m90TdJE_400x400.jpg
1213,Ridge Ventures,Venture Capital,San Francisco,USA,"Data, SaaS","Series A, Series B",https://pbs.twimg.com/profile_images/907730834026721280/6aDMQHMl_400x400.jpg
1214,PeakSpan Capital,Venture Capital,Burlingame,USA,FinTech,Series B,https://pbs.twimg.com/profile_images/803359315973156864/AF7-iFGw_400x400.jpg
1215,Arboretum Ventures,Venture Capital,Ann Arbor,USA,HealthTech,,https://pbs.twimg.com/profile_images/3733124238/fd0f9559358481172582aa6522d957c1_400x400.jpeg
1216,Takeda Ventures,Corporate Venture Capital,Palo Alto,USA,BioTech,Series A,
1217,Darian Shirazi,"Investment Partner, Individual/Angel",San Francisco,USA,Data,Series A,https://pbs.twimg.com/profile_images/1420200743324196867/J9tReL2C_400x400.jpg
1218,HealthCap,Venture Capital,Stockholm,Sweden,BioTech,Series B,https://pbs.twimg.com/profile_images/565110357664878592/s3s6p5To_400x400.png
1219,LAUNCHub Ventures,Venture Capital,Sofia,Bulgaria,,,https://pbs.twimg.com/profile_images/808291672673095681/h99xqEXH_400x400.jpg
1220,Seroba Life Sciences,Venture Capital,Dublin,Ireland,BioTech,Series B,
1221,Pivotal bioVenture Partners,Venture Capital,San Francisco,USA,BioTech,Series B,
1222,Founder Friendly Labs,Accelerator,Palo Alto,USA,eCommerce,Seed,https://pbs.twimg.com/profile_images/1017430100390830080/8GznAFS9_400x400.jpg
1223,WestSummit Capital,Venture Capital,Menlo Park,USA,Networks,Series C,https://pbs.twimg.com/profile_images/422200494916788224/5QAUiUAT_400x400.png
1224,Third Act Ventures,Venture Capital,New York,USA,,,
1225,Exponential Ventures,Venture Capital,Toronto,Canada,,,https://pbs.twimg.com/profile_images/1243343221591285760/eOHLgotE_400x400.jpg
1226,Techstars Berlin Accelerator,Accelerator,Berlin,Germany,FinTech,Pre-Seed,
1227,East Valley Ventures,Venture Capital,Saint John,Canada,SaaS,Seed,https://pbs.twimg.com/profile_images/701777255052222464/UFQWAq5R_400x400.jpg
1228,The Group Ventures,Venture Capital,Toronto,Canada,FinTech,Series B,
1229,Flat6Labs Cairo,Accelerator,Cairo,Egypt,,,
1230,Capital Angel Network,Angel Group,Ottawa,Canada,"BioTech, CleanTech, Consumer, CyberSecurity, EdTech, SaaS","Pre-Seed, Seed",https://pbs.twimg.com/profile_images/1357440754835214337/XyTGM2ax_400x400.png
1231,Connetic Ventures,"Micro VC, Venture Capital",Covington,USA,"Data, SaaS","Pre-Seed, Series A",
1232,Strategic Innovation Fund (SIF),Startup Competition,Canada,USA,FinTech,Series B,
1233,Air Force Accelerator Powered by Techstars,Accelerator,Boston,USA,Hardware,Pre-Seed,
1234,Techstars SportsTech Melbourne,Accelerator,Melbourne,Australia,AR,Pre-Seed,
1235,Sentiero Ventures,Venture Capital,Dallas,USA,CyberSecurity,Seed,
1236,Devon Galloway,Angel,Kitchener,Canada,SaaS,Seed,https://pbs.twimg.com/profile_images/461599478764433408/rRjIiXjQ_400x400.jpeg
1237,Chris Adams,Angel,,,Marketplace,Seed,https://pbs.twimg.com/profile_images/1198624657336913920/iMitnZTw_400x400.jpg
1238,Break Off Capital,Venture Capital,New York,USA,BioTech,Seed,
1239,Hilary Shirazi,"Investment Partner, Individual/Angel",San Francisco,USA,Data,Series A,https://pbs.twimg.com/profile_images/1343368428317380609/NeffMnXi_400x400.jpg
1240,Delbridge Capital Partners,Corporate Venture Capital,Vaughan,Canada,CyberSecurity,Seed,
1241,Costarter,Accelerator,Thunder Bay,Canada,,,
1242,Scott Coffin,Angel,Oakville,Canada,FinTech,Seed,
1243,Northern Ontario Heritage Fund,Venture Capital,Sault Sainte Marie,Canada,HealthTech,Seed,
1244,Dapeng Zhu,Angel,,,Marketplace,Seed,
1245,Milad Mansour,Angel,Sudbury,Canada,FitnessTech,Seed,
1246,Craig Busch,Angel,,,Marketplace,Seed,
1247,Oliver Zecha,Angel,,,Marketplace,Seed,
1248,Eric Wetlaufer,Angel,Toronto,Canada,Marketplace,Seed,
1249,Thien Pham,Angel,,,Marketplace,Seed,
1250,Rob Zulich,Angel,,,FitnessTech,Seed,
1251,John Zulich,Angel,,,FitnessTech,Seed,
1252,John Cassio,Angel,,,FitnessTech,Seed,
1253,Nick Foligno,Angel,,,FitnessTech,Seed,
1254,L-SPARK,Accelerator,Ottawa,Canada,"AI, CyberSecurity, Hardware, SaaS, SocialTech, TransportationTech","Pre-Seed, Seed",
1255,40 North Ventures,Venture Capital,California,USA,"Cybersecurity, SaaS",Series B,
1256,Anchorage,,California,USA,Cybersecurity,Series B,
1257,Argentil Capital Partners,,Lagos,Nigeria,TransportationTech,Seed,
1258,Baillie Gifford,,Edinburgh,United Kingdom,FinTech,Series B,
1259,Bonfire Ventures,Venture Capital,Santa Monica,USA,Cybersecurity,Series B,
1260,Broad Street Bulls,Venture Capital,Saskatchewan,Canada,"SportsTech, eCommerce","Pre-Seed, Seed",
1261,Declaration Partners,,New York,USA,Cybersecurity,Series B,
1262,Finality Capital Partners,,,USA,Cybersecurity,Series B,
1263,FM Capital,Venture Capital,Colorado,USA,AI,Series B,
1264,GFT Ventures,Venture Capital,California,USA,Cybersecurity,Series B,
1265,Golden Opportunities Fund,Venture Capital,Manitoba,Canada,"AgTech, Robotics",Seed,
1266,GSR Ventures,Venture Capital,California,USA,Cybersecurity,Series B,
1267,Hard Yaka,"Micro VC, Venture Capital",Nevada,USA,Cybersecurity,Series B,
1268,Innovation Endeavors,Venture Capital,California,USA,AI,Series B,
1269,Intact Ventures,,Toronto,Canada,"AI, LogisticsTech, PropertyTech",Series B,
1270,JPK Capital,,,Barbados,Cybersecurity,Series B,
1271,Koch Disruptive Technologies,Venture Capital,Kansas,USA,AI,Series B,
1272,Liberty City Ventures,Micro VC,New York,USA,Cybersecurity,Series B,
1273,ODBA & Co. Ventures,Venture Capital,,United Kingdom,TransportationTech,Seed,
1274,Sands Capital,Venture Capital,Virgina,USA,"Marketplace, SaaS",Series B,
1275,SaskWorks Venture Fund,Venture Capital,Regina,Canada,"Marketplace, Robotics, eCommerce",Seed,
1276,Senator Investment Group,,New York,USA,Cybersecurity,Series B,
1277,Shock Ventures,Venture Capital,Virgina,USA,,,
1279,W.L. Gore & Associates,,New Jersey,USA,Wearables,,
1280,Wittington Ventures,Venture Capital,Toronto,Canada,AI,Series B,
1281,York IE,"Micro VC, Venture Capital",New Hampshire,USA,"HealthTech, SaaS",Seed,https://pbs.twimg.com/profile_images/1159819982634700800/hy1M1kWE_400x400.png
1282,Conexus Venture Capital,Venture Capital,Saskatchewan,Canada,"AI, Robotics, SaaS, eCommerce","Seed, Series B",
1283,Powerhouse Ventures,Venture Capital,California,USA,CleanTech,Seed,https://pbs.twimg.com/profile_images/872127212308148224/wFcIh8YC_400x400.jpg
1284,Turnham Green Capital,Venture Capital,Surrey,Canada,CleanTech,Seed,https://media-exp1.licdn.com/dms/image/C560BAQHa41eVZsXSfA/company-logo_200_200/0/1626297720097?e=1638403200&v=beta&t=ybBeYVbl-zxZE0hRY6FkhxRhSwYjAijQ5sEXgGC3mgg
1285,Fresco Capital,"Micro VC, Venture Capital",San Francisco,USA,iOT,Seed,
1286,Angular Ventures,Micro VC,London,United Kingdom,SaaS,Seed,https://pbs.twimg.com/profile_images/993463332865748992/3dDu1k2R_400x400.jpg
1287,Cendana Capital,Venture Capital,San Francisco,USA,SaaS,Seed,
1288,K1 Investment Management,"Private Equity Firm, Venture Capital",Manhattan Beach,USA,Fintech,Series A,https://pbs.twimg.com/profile_images/636676761942495232/H-vSYq4g_400x400.jpg
1289,Re-Pie Asset Management,"Angel Group, Family Investment Office, Pension Funds, University Program",Istanbul,Turkey,Games,Seed,
1290,SineWave Ventures,Micro VC,Washington,USA,"3DTech, DevTech","Seed, Series A",https://pbs.twimg.com/profile_images/963136479001128960/fq73EHXs_400x400.jpg
1291,Volition Capital,Venture Capital,Boston,USA,SaaS,Series A,https://pbs.twimg.com/profile_images/676470439225487361/Y7rrpa_I_400x400.jpg
1292,Klick Ventures,Venture Capital,Toronto,Canada,SaaS,,
1293,Blu Venture Investors,"Angel Group, Micro VC, Venture Capital",Vienna,USA,"HealthTech, SaaS",Seed,https://pbs.twimg.com/profile_images/378800000361919135/fa48f2e78cf1e203596a09ffc7f30641_400x400.jpeg
1294,Mana Ventures,Venture Capital,San Francisco,USA,3DTech,Series A,
1295,Section 32,Venture Capital,San Diego,USA,AI,Series A,https://pbs.twimg.com/profile_images/1456119538047619072/fDmsFp_M_400x400.jpg
1296,Argonautic Ventures,Venture Capital,Grand Cayman,Cayman Islands,"HealthTech, SaaS",Seed,
1297,Archangel Network of Funds,"Angel Group, Venture Capital",Waterloo Region,Canada,HealthTech,Seed,
1298,Shasta Ventures,Venture Capital,California,USA,"3DTech, AI, DevTech","Seed, Series B",https://pbs.twimg.com/profile_images/1357018393983946752/nlTP5ZB2_400x400.jpg
1299,Hyperplane Venture Capital,Venture Capital,Boston,USA,AI,Seed,
1300,Parliament Angels,Angel Group,,Canada,AI,Seed,
1301,Killick Capital,Venture Capital,Newfoundland,Canada,"Hardware, HealthTech, LegalTech, SaaS","Pre-Seed, Seed, Series B",
1302,Sand Hill North,Venture Capital,Toronto,Canada,EdTech,Seed,
1303,Bond,Venture Capital,San Francisco,USA,Blockchain,Series D,https://pbs.twimg.com/profile_images/1120823051803697152/FftkBuq7_400x400.png
1304,Spin Master Ventures,Venture Capital,Toronto,Canada,EdTech,Seed,
1305,Cota Capital,Venture Capital,San Francisco,USA,Platform,Series B,https://pbs.twimg.com/profile_images/1285992042435420162/mS1mpscU_400x400.jpg
1306,Crypto.com Capital,Venture Capital,,Singapore,Blockchain,,https://pbs.twimg.com/profile_images/920233201301254144/oCw2s3GI_400x400.jpg
1307,Scott McGillivray - McGillivray Group,Venture Capital,Toronto,Canada,Marketplace,Pre-Seed,https://media-exp1.licdn.com/dms/image/C4D0BAQEYAuVTdJVu5w/company-logo_200_200/0/1523889531147?e=1646265600&v=beta&t=p0Y6mCP4Zvl1cqx0cpuKJ3gNJ9ymx2wE1jO9_EeKIBc
1309,2150,Venture Capital,Copenhagen,Denmark,,,https://pbs.twimg.com/profile_images/1362826066222530561/je4hWEjG_400x400.jpg
1310,01A,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1235301339636391936/tYi_hbgz_400x400.jpg
1311,100+ Accelerator,Accelerator,New York,USA,,,https://pbs.twimg.com/profile_images/1468566628010967044/M70vYz8u_400x400.jpg
1312,10X Capital,Venture Capital,New York,USA,,,
1313,10x Value Partners,Micro VC,London,United Kingdom,,,
1314,1517 Fund,"Micro VC, Venture Capital",San Francisco,USA,,,https://pbs.twimg.com/profile_images/622133156687147008/eufpxFBl_400x400.png
1315,15th Rock Ventures,Venture Capital,Tokyo,Japan,,,
1316,1kx,Venture Capital,,Germany,,,https://pbs.twimg.com/profile_images/978009007028760576/D5CCvr_E_400x400.jpg
1317,1Up Ventures,Venture Capital,Kirkland,USA,Games,Seed,
1318,2.12 Angels,Venture Capital,,USA,,,
1319,37 Angels,Angel Group,New York,USA,,,https://pbs.twimg.com/profile_images/943114319356747777/W31B0s4a_400x400.jpg
1320,3W Partners,Private Equity Firm,Saint Louis,USA,HealthTech,Seed,
1321,99 Tartans,Angel Group,Pittsburgh,USA,,,https://pbs.twimg.com/profile_images/505358579461652480/VIaDfxN__400x400.png
1322,9Yards Capital,Venture Capital,San Francisco,USA,,,
1323,A.Partners,Angel Group,Moscow,Russian Federation,,,
1324,A&E Investments,Micro VC,,USA,AI,Seed,
1325,Abdulrahman Alhelal,Angel,,,,,
1326,Abel Makkonen Tesfaye,Angel,Toronto,Canada,,,https://pbs.twimg.com/profile_images/1423364560447102978/9wilq_Ax_400x400.jpg
1327,Accenture Ventures,Venture Capital,San Francisco,USA,SaaS,Series B,
1328,ACET Capital,Accelerator,Sherbrooke,Canada,eCommerce,Seed,
1329,Acuity Ventures,Venture Capital,San Jose,USA,,,
1330,ACVC Partners,Venture Capital,,USA,,,
1331,Adam McNamara,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1027962759051325440/eEOkXy2s_400x400.jpg
1332,Adegoke Olubusi,Angel,San Francisco,USA,,,
1333,Advanced Technology Centre,Incubator,Edmonton,Canada,,,https://pbs.twimg.com/profile_images/1194702224217145345/SYq-Sb5F_400x400.png
1334,Advancit Capital,"Micro VC, Venture Capital",Norwood,USA,,,https://pbs.twimg.com/profile_images/378800000461797060/089f50b2a551cb8fef0f439c5d8769a9_400x400.png
1335,Adventure Capital,Angel Group,Melbourne,Australia,AI,Series A,
1336,Aegis Group Partners,Venture Capital,,USA,SaaS,Series C,
1337,Ag Ventures Alliance,Venture Capital,Mason City,USA,,,https://pbs.twimg.com/profile_images/664208463480786944/gslY6480_400x400.jpg
1338,AgCapital Canada,"Private Equity Firm, Venture Capital",Tillsonburg,Canada,agTech,"Series A, Series B",
1339,AgFunder,"Micro VC, Venture Capital",San Francisco,USA,,,https://pbs.twimg.com/profile_images/892115591649124353/IQW2e1l2_400x400.jpg
1340,AIMCo,Venture Capital,Denver,USA,,,https://pbs.twimg.com/profile_images/1384770703/aimco_logo_400x400.jpg
1341,AIoT Health,Venture Capital,Calgary,Canada,,,
1342,Alabaster,Venture Capital,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1057525118002495491/xXMNq7EK_400x400.jpg
1343,Alacrity Canada,Venture Capital,Victoria,Canada,,,https://pbs.twimg.com/profile_images/849337864739581953/a34NRFL1_400x400.jpg
1344,Alen Palander,Angel,,,,,
1345,Alex Bauman,Angel,,,,,https://pbs.twimg.com/profile_images/1115302883409313796/Odx3Plb3_400x400.png
1346,Alex Solomon,Angel,San Francisco,USA,,,https://pbs.twimg.com/profile_images/1025142562787450880/Bwzg9itQ_400x400.jpg
1347,Alexander Hudek,Angel,New York,USA,,,
1348,Alexandre Tratch,Angel,,,,,
1349,Algis Akstinas,Angel,,,,,https://pbs.twimg.com/profile_images/1115294335912878080/1N3tKZzy_400x400.jpg
1350,Alignvest Management Corporation,Angel Group,Toronto,Canada,,,
1351,Aligo Innovation,Venture Capital,Montréal,Canada,,,https://pbs.twimg.com/profile_images/557200041455005696/rKVbG6vD_400x400.jpeg
1352,Allen Chang,Angel,,,,,
1353,Alliance of Angels,Angel Group,Seattle,USA,AI,Seed,https://pbs.twimg.com/profile_images/443185106224558080/_nqUabgu_400x400.jpeg
1354,Ally Bridge Group,"Private Equity Firm, Venture Capital",Hong Kong,Hong Kong,,,
1355,Almanac Insights,Micro VC,New York,USA,,,
1356,Alon Neches,Angel,,,,,
1357,AVG Funds,"Angel Group, Micro VC",Manchester,USA,,,https://pbs.twimg.com/profile_images/1446530386431983622/D8-JuDUH_400x400.jpg
1358,Amarjit Gill,Angel,San Francisco,USA,,,
1359,AME Cloud Ventures,Venture Capital,Palo Alto,USA,SaaS,Seed,https://pbs.twimg.com/profile_images/3352275043/f5a6e330ab906cb2b1499063f815413d_400x400.png
1360,AMG Brands Network Inc.,"Private Equity Firm, Venture Capital",Edmonton,Canada,,,https://pbs.twimg.com/profile_images/940628609974149120/xE3sTpk1_400x400.jpg
1361,Amino Capital,"Accelerator, Micro VC, Venture Capital",Palo Alto,USA,,,https://pbs.twimg.com/profile_images/1435024056592465921/7LJ7Cuwt_400x400.jpg
1362,Amit Mital,Angel,Seattle,USA,,,
1363,Amit Sharma,Angel,New York,USA,,,https://pbs.twimg.com/profile_images/1118296916515786752/OzuGJovE_400x400.png
1364,AMKA Holdings,Venture Capital,Toronto,Canada,,,https://pbs.twimg.com/profile_images/973267026247499776/NIKRc-Yv_400x400.jpg
1365,Anchorless Bangladesh,Venture Capital,New York,USA,,,https://pbs.twimg.com/profile_images/1153724404217655296/chz4ugTk_400x400.jpg
1366,André Zimmermann,Angel,Valencia,Spain,,,https://pbs.twimg.com/profile_images/692864428006461440/QWGfRxY1_400x400.jpg
1367,Andrew Chen,Angel,San Francisco,USA,SaaS,Seed,https://pbs.twimg.com/profile_images/1395588769370103808/4pr-KrfY_400x400.jpg
1368,Andrew Kitchell,Angel,San Francisco,USA,PropertyTech,Seed,https://pbs.twimg.com/profile_images/1458184835852222464/_I-u_Ykw_400x400.jpg
